"","Month_Yr","Brazil","France","Germany","India","Italy","Russia","Spain","Turkey","United_Kingdom","United_States"
"1","2020 04 Apr",36379,135102,133548,15541,166442,39616,182863,72627,104395,670972
"2","2020 05 May",250496,179126,175167,97584,223262,265581,229326,145936,235817,1456574
"3","2020 06 Jun",920804,194502,188822,358645,237051,532187,244200,180505,297290,2151564
"4","2020 07 Jul",1983987,211196,201573,1018639,243680,744561,259754,215740,293583,3530657
"5","2020 08 Aug",3279412,256556,225604,2604648,254845,914597,355370,248618,319009,5317215
"6","2020 09 Sep",4360569,431924,264885,4878305,289289,1066870,595029,293074,378688,6576866
"7","2020 10 Oct",5147654,866979,363805,7201136,407312,1345364,925491,341834,675806,7976839
"8","2020 11 Nov",5883413,1954701,810098,8839169,1160818,1921041,1453979,438330,1349496,11158054
"9","2020 12 Dec",7007255,2460821,1407282,9917362,1868351,2688991,1768082,1648143,1945054,16734648
"10","2021 01 Jan",8332807,2912709,1989898,10512230,2323543,3455099,2254694,2349671,3209350,23091329
"11","2021 02 Feb",9799900,3492301,2332250,10908896,2709071,4004070,3034158,2578987,4023042,27455275
"12","2021 03 Mar",11612747,4195999,2616757,11521068,3251041,4352458,3210219,2943720,4278449,29516888
"13","2021 04 Apr",13718263,5218373,3104470,14737469,3820403,4623012,3395000,4085706,4397413,31456170
"14","2021 05 May",15571136,5815473,3577478,24239392,4139173,4876203,3601881,5082149,4463642,32872910
"15","2021 06 Jun",17555080,5797941,3721053,29500539,4244018,5187786,3739048,5338369,4609850,33474706
"16","2021 07 Jul",19241468,5940949,3750823,31020930,4287845,5808828,4082840,5523780,5328062,34080687
"17","2021 08 Aug",20345871,6506478,3837947,32195352,4437064,6496896,4687467,6056125,6298845,36785956
"18","2021 09 Sep",21076076,6989667,4100484,33303851,4609796,7080292,4912616,6718777,7308378,41334182
"19","2021 10 Oct",21620129,7203661,4380414,34037712,4713534,7818146,4983948,7580401,8411708,44760152
"20","2021 11 Nov",21952524,7443443,5160998,34445424,4876285,8922901,5067038,8414809,9651263,47203165
"21","2021 12 Dec",22194334,8545338,6640802,34715636,5326352,9916041,5462763,9099073,11215112,50584503
"22","2022 01 Jan",23184439,13868850,8110646,37271245,8319740,10668484,8000465,10342763,14939869,64397256
"23","2022 02 Feb",27287611,21551073,12362900,42501344,11991182,13753470,10546082,12817701,18316153,77454013
